cluster1	cluster2	cluster3	cluster4	cluster5	cluster6  
RMND1	ZNF385B	SPECC1	NEDD8		ZNF626
RMRP	ZNF385D	SPG21	NEDD8-MDP1		ZNF639
RN7SL3	ZNF404	SPICE1	NEIL1		ZNF667
RN7SL832P	ZNF408	SPIDR	NEK3		ZNF667-AS1
RNASE1	ZNF414	SPIN1	NEK6		ZNF668
RNASE13	ZNF416	SPIN3	NEK8		ZNF669
RNASEH2C	ZNF420	SPINDOC	NELFB		ZNF670
RNASEL	ZNF428	SPINK8	NELFE		ZNF674
RNF103	ZNF433	SPIRE1	NELL2		ZNF675
RNF112	ZNF436-AS1	SPOCK1	NES		ZNF676
RNF133	ZNF443	SPOCK3	NETO1		ZNF679
RNF138P1	ZNF454	SPON1	NEXN		ZNF680
RNF151	ZNF460-AS1	SPOP	NFASC		ZNF682
RNF157-AS1	ZNF467	SPRTN	NFATC4		ZNF700
RNF207	ZNF491	SPTLC1	NFIB		ZNF701
RNF212B	ZNF497	SREBF2	NFKBIB		ZNF705A
RNF31	ZNF501	SREK1	NFKBID		ZNF705B
RNF39	ZNF503	SREK1IP1	NFKBIL1		ZNF705D
RNF44	ZNF503-AS2	SRGAP1	NGF		ZNF707
RNH1	ZNF512	SRGAP2D	NGRN		ZNF711
RNU2-1	ZNF524	SRGAP2D.1	NHEJ1		ZNF716
RNU4-1	ZNF526	SRI	NHLRC1		ZNF718
RNU4-2	ZNF527	SRPK2	NHS		ZNF722P
RNY1	ZNF532	SRSF12	NHSL2		ZNF723
ROCK2	ZNF547	SSBP2	NICN1		ZNF728
ROGDI	ZNF554	SSBP3	NIF3L1		ZNF733P
ROM1	ZNF555	SSH1	NIFK		ZNF735
ROR1-AS1	ZNF557	SSPN	NIFK-AS1		ZNF736
RORC	ZNF559-ZNF177	SSX2IP	NINJ1		ZNF749
RP1L1	ZNF57	ST6GALNAC3	NIPA2		ZNF766
RP2	ZNF571	ST7	NIPAL2		ZNF776
RPEL1	ZNF574	ST8SIA1	NIPSNAP1		ZNF778
RPL10	ZNF582	STAG1	NIPSNAP2		ZNF79
RPL13	ZNF583	STAMBP	NIT1		ZNF790
RPL13A	ZNF584	STARD4-AS1	NKAIN1		ZNF790-AS1
RPL13AP20	ZNF587	STARD6	NKAIN3		ZNF791
RPL13AP5	ZNF593	STARD7	NKAIN3-IT1		ZNF792
RPL13P5	ZNF595	STAU1	NKAIN4		ZNF808
RPL17-C18orf32	ZNF599	STEAP4	NKAPP1		ZNF812P
RPL18A	ZNF623	STIM2	NKILA		ZNF816
RPL19	ZNF641	STK24	NKIRAS2		ZNF818P
RPL19P12	ZNF649-AS1	STK3	NKX1-2		ZNF823
RPL21P28	ZNF672	STK32B	NLE1		ZNF829
RPL21P44	ZNF684	STK33	NLGN1-AS1		ZNF830
RPL23AP32	ZNF71	STK35	NLGN3		ZNF836
RPL23P8	ZNF717	STK38	NLGN4X		ZNF837
RPL28	ZNF74	STK39	NLGN4Y		ZNF839
RPL29	ZNF746	STK4	NLN		ZNF841
RPL31P11	ZNF764	STOX1	NLRC5		ZNF843
RPL32	ZNF768	STPG2	NLRP10		ZNF844
RPL8	ZNF77	STRBP	NLRX1		ZNF852
RPLP0	ZNF781	STRC	NMB		ZNF875
RPLP2	ZNF784	STRIP2	NME1		ZNF878
RPP25	ZNF786	STX12	NME1-NME2		ZNF880
RPRD1B	ZNF793-AS1	STX16	NME3		ZNF888
RPRM	ZNF799	STX17	NME4		ZNF891
RPS11	ZNF806	STX18	NMNAT2		ZNF91
RPS14P3	ZNF814	STX18-AS1	NMRAL1		ZNF92
RPS15	ZNF815P	STX2	NMRK1		ZNF98
RPS15AP10	ZNF816-ZNF321P	STX3	NMRK2		ZNF99
RPS16	ZNF833P	STX6	NMT1		ZNFX1
RPS17	ZNF835	STX7	NMU		ZNHIT3
RPS17.1	ZNF846	STXBP3	NNAT		ZNHIT6
RPS19BP1	ZNF862	STXBP5	NOB1		ZNRD2
RPS28	ZNF876P	STXBP5-AS1	NOC2L		ZRANB1
RPS4X	ZNF879	STXBP6	NOC4L		ZRANB2
RPS5	ZNF890P	SUCO	NODAL		ZRANB2-AS1
RPS6KA1	ZNF93	SUDS3	NOL3		ZRANB2-AS2
RPS6KA4	ZNHIT2	SUFU	NOL6		ZSCAN18
RPS9	ZSCAN16	SUGCT	NOL7		ZSCAN20
RPSAP58	ZSCAN22	SUMO2	NOMO2		ZSCAN32
RPTN	ZSCAN25	SUN1	NOMO3		ZSCAN4
RPUSD1	ZSCAN9	SUPT20H	NONO		ZSCAN5B
RPUSD3	ZUP1	SUPT20HL2	NOP14		ZSWIM8-AS1
RRAD		SUSD3	NOP14-AS1		ZZZ3
RRBP1		SUSD6	NOP53		
RREB1		SV2B	NOP56		
RRP1		SVIP	NOSIP		
RRP7A		SVOPL	NOTCH1		
RRP8		SWAP70	NOTCH2		
RSPO3		SWT1	NOTCH3		
RSPRY1		SYCE3	NOTCH4		
RTBDN		SYCP2	NOVA1		
RTKN		SYCP2L	NOVA2		
RTL1		SYN2	NOX3		
RTL3		SYN3	NOXO1		
RTN2		SYNE2	NPC1L1		
RTN4RL1		SYNGAP1	NPC2		
RTP3		SYNJ2	NPDC1		
RUFY3		SYNJ2BP	NPEPL1		
RUFY4		SYNM	NPHP3		
RUNX3		SYNPO2L	NPPB		
RUSC1		SYNRG	NPR1		
RXFP2		SYT1	NPR2		
RXFP3		SYT11	NPRL2		
S100A13		SYT14	NPRL3		
S100A14		SYT16	NPTN-IT1		
S100A16		SYT5	NPW		
S100A5		SYT9	NPY		
S100A6		SYTL2	NPY1R		
S100A7A		SYTL3	NPY5R		
S100A9		SYTL4	NQO1		
S100P		SYVN1	NQO2		
S1PR2		TAB1	NR2F6		
S1PR3		TAB2	NRADDP		
SAFB		TACC1	NRARP		
SAGE1		TACC2	NRAS		
SALL4		TACC3	NRBP1		
SAMD11		TADA1	NREP		
SAMD5		TADA2A	NRG3		
SAP30L-AS1		TADA2B	NRIP2		
SAPCD2		TAF1	NRK		
SASH1		TAF12	NRM		
SASH3		TAF1A	NRN1L		
SAT1		TAF3	NRP1		
SATB2-AS1		TAF4	NRP2		
SBF1P1		TAF4B	NRSN2-AS1		
SBF2-AS1		TAFA5	NRTN		
SBK2		TAMM41	NSD3		
SBSN		TANC1	NSMCE1		
SCAF11		TANC2	NSMF		
SCAMP2		TAOK1	NSUN2		
SCAMP3		TAOK3	NSUN5P1		
SCAMP4		TAPT1	NSUN5P2		
SCGB1D2		TARBP1	NSUN7		
SCGB2B2		TARSL2	NT5C		
SCML4		TASOR	NT5C1B-RDH14		
SCN10A		TASOR2	NT5C2		
SCN2A		TASP1	NT5C3A		
SCN3A		TAX1BP1	NT5C3B		
SCN8A		TBC1D14	NT5DC1		
SCNN1G		TBC1D15	NT5DC2		
SCO2		TBC1D2B	NTHL1		
SCRG1		TBC1D31	NTM		
SCRIB		TBC1D7	NTNG1		
SCUBE3		TBC1D9	NTPCR		
SCYL1		TBCEL	NTS		
SDC1		TBK1	NTSR1		
SDC4		TBL1X	NUAK1		
SDCBP		TBP	NUAK2		
SDF2L1		TBPL1	NUBP1		
SDHAF1		TBRG1	NUBP2		
SDHAP3		TBX20	NUBPL		
SDHD		TBX5	NUCKS1		
SEC23A		TCAF1	NUDC		
SEC31A		TCAIM	NUDCD3		
SEC63		TCAP	NUDT1		
SEH1L		TCERG1	NUDT10		
SELENOI		TCF20	NUDT12		
SELENOO		TCF7	NUDT14		
SELENOP		TCFL5	NUDT15		
SELENOT		TCHP	NUDT16		
SELP		TCL1A	NUDT16L1		
SELPLG		TCL1B	NUDT16P1		
SEMA3B		TCOF1	NUDT19		
SEMA3F-AS1		TCP11L2	NUDT22		
SEMA4C		TDP1	NUDT3		
SEMA4G		TDRD1	NUDT5		
SEMA6A		TDRD10	NUDT8		
SEMA6D		TDRD15	NUDT9		
SEMG2		TDRD3	NUP210		
SENP2		TDRD5	NUP93		
SEPHS2		TDRD6	NUTF2		
SERBP1		TDRD7	NUTM2A-AS1		
SERF2-C15ORF63		TDRP	NUTM2B-AS1		
SERPINA1		TECPR2	NVL		
SERPINA10		TECTA	NXF4		
SERPINA4		TEK	NXPE3		
SERPINB2		TENM2	NXPH2		
SERPINB9		TENM4	NYNRIN		
SERPINC1		TENT2	OAZ2		
SERTAD2		TENT4A	OBSL1		
SESN2		TENT4B	OCEL1		
SETBP1		TENT5C	OCIAD1		
SETD1A		TERB1	OCIAD2		
SETD2		TERF2	OGFOD2		
SEZ6		TESC-AS1	OGFOD3		
SF1		TET3	OGFRL1		
SF3B2		TEX14	OIP5		
SF3B3		TEX15	OIP5-AS1		
SFMBT2		TEX2	OLA1		
SFTPA1		TEX41	OLAH		
SFTPC		TEX9	OLFML2A		
SGK1		TFAMP1	OLFML2B		
SGMS1		TFAP2D	OLFML3		
SGMS1-AS1		TFAP4	OLMALINC		
SGPL1		TFDP1	OMG		
SGSM2		TFG	ONECUT2		
SH2B2		TGFBR1	OPCML		
SH2D1B		TGFBRAP1	OPLAH		
SH2D3A		TGIF2LX	OPTC		
SH2D5		TGM4	OR52A1		
SH2D7		THAP10	OR52N2		
SH3BP2		THAP5	OR5M3		
SH3BP4		THBS2	OR7E12P		
SH3D21		THBS4	OR7E5P		
SH3GL1		THEM5	ORAI2		
SH3GLB2		THEMIS	ORAI3		
SH3PXD2A		THOC3	ORC1		
SH3PXD2A-AS1		THOC7	ORC3		
SH3RF1		THRA	ORC6		
SH3RF2		THRB	OSBPL10-AS1		
SH3RF3		THRIL	OSBPL7		
SH3TC1		THSD1	OSGEP		
SH3TC2		THSD4	OSGEPL1-AS1		
SHANK2		THSD4-AS1	OSGIN2		
SHANK2-AS3		THSD7A	OST4		
SHB		THSD7B	OSTC		
SHF		THUMPD1	OSTCP1		
SHISA5		TIAM1	OTUB1		
SHISA6		TIAM2	OVOS		
SHLD2		TICAM1	OXA1L		
SHLD3		TICRR	OXCT1		
SHPK		TIFA	OXLD1		
SHROOM3		TIGIT	P2RX5-TAX1BP3		
SIAE		TIPARP	P3H1		
SIGLEC12		TIPARP-AS1	P3H3		
SIGLEC16		TIRAP	P3H4		
SIK1		TJAP1	P4HA1		
SIM2		TJP1	P4HA2		
SIMC1		TJP3	P4HTM		
SIPA1L3		TLDC2	PA2G4		
SIRT2		TLL1	PA2G4P4		
SIX3		TLN2	PAAF1		
SKIDA1		TLR3	PABPC4L		
SLC12A3		TLR8-AS1	PABPC5		
SLC12A7		TM2D1	PADI1		
SLC12A9		TM2D3	PADI2		
SLC13A2		TM4SF19-TCTEX1D2	PADI3		
SLC15A2		TM6SF1	PADI4		
SLC16A10		TM9SF2	PAFAH1B3		
SLC16A11		TMBIM1	PAFAH2		
SLC16A13		TMC3-AS1	PAGR1		
SLC16A2		TMC5	PAH		
SLC16A3		TMCC1	PAICS		
SLC17A4		TMED8	PAIP2		
SLC17A5		TMEM101	PAK1		
SLC17A6		TMEM108	PALD1		
SLC19A3		TMEM109	PALM		
SLC1A2		TMEM128	PALMD		
SLC1A3		TMEM129	PAM		
SLC1A7		TMEM131	PAM16		
SLC22A11		TMEM131L	PANK1		
SLC22A12		TMEM145	PANK2		
SLC22A16		TMEM14A	PAPPA		
SLC22A7		TMEM14B	PAPPA-AS1		
SLC23A2		TMEM150A	PAPSS2		
SLC23A3		TMEM154	PAQR9		
SLC25A10		TMEM163	PARD6A		
SLC25A16		TMEM168	PARK7		
SLC25A18		TMEM169	PARP1		
SLC25A23		TMEM170B	PARP14		
SLC25A25-AS1		TMEM179	PARP15		
SLC25A29		TMEM184A	PARP3		
SLC25A35		TMEM184B	PARP4		
SLC25A39		TMEM190	PARP6		
SLC25A43		TMEM200A	PARP8		
SLC25A47		TMEM231	PARP9		
SLC25A5		TMEM245	PARTICL		
SLC25A5-AS1		TMEM248	PARVB		
SLC25A51P1		TMEM268	PATZ1		
SLC26A1		TMEM35B	PBDC1		
SLC27A4		TMEM41A	PCAT6		
SLC2A10		TMEM43	PCBD1		
SLC2A11		TMEM51	PCBD2		
SLC30A2		TMEM51-AS1	PCBP4		
SLC30A6		TMEM56	PCCA		
SLC31A1		TMEM59	PCDH1		
SLC32A1		TMEM60	PCDH11Y		
SLC34A1		TMEM63B	PCDH18		
SLC35E1		TMEM69	PCDH20		
SLC35F6		TMEM74	PCDHA10		
SLC35G3		TMEM79	PCDHA11		
SLC36A2		TMEM80	PCDHA12		
SLC37A3		TMEM87A	PCDHA13		
SLC37A4		TMEM94	PCDHA2		
SLC38A10		TMEM97	PCDHA3		
SLC38A11		TMEM9B	PCDHA4		
SLC38A3		TMEM9B-AS1	PCDHA6		
SLC38A7		TMOD1	PCDHA7		
SLC39A2		TMOD2	PCDHA8		
SLC39A4		TMOD3	PCDHA9		
SLC39A9		TMX3	PCDHAC1		
SLC3A2		TNFAIP6	PCDHB10		
SLC40A1		TNFAIP8	PCDHB11		
SLC44A1		TNFRSF11A	PCDHB12		
SLC44A2		TNFRSF1B	PCDHB14		
SLC44A3		TNFSF12-TNFSF13	PCDHB15		
SLC44A3-AS1		TNKS2	PCDHB16		
SLC45A4		TNPO3	PCDHB2		
SLC47A1		TNRC6A	PCDHB5		
SLC49A3		TNRC6B	PCDHB9		
SLC4A1		TOGARAM1	PCDHGA10		
SLC4A11		TOLLIP-AS1	PCDHGA11		
SLC4A2		TOP1	PCDHGA3		
SLC4A8		TOPAZ1	PCDHGA8		
SLC4A9		TOR2A	PCDHGB1		
SLC52A1		TOR3A	PCDHGB2		
SLC52A2		TOX	PCDHGB4		
SLC52A3		TOX2	PCDHGB7		
SLC5A10		TP53INP1	PCED1B		
SLC5A3		TP53TG3C	PCK2		
SLC5A4-AS1		TP53TG3C.1	PCLAF		
SLC5A5		TP53TG3C.2	PCMT1		
SLC5A6		TP63	PCNP		
SLC6A19		TPD52	PCOLCE		
SLC6A2		TPK1	PCOLCE-AS1		
SLC6A7		TPO	PCOTH		
SLC6A8		TPRXL	PCP4		
SLC7A2		TPTE2P1	PCSK1		
SLC7A4		TRAF3IP1	PCSK1N		
SLC7A5P2		TRAF3IP3	PCTP		
SLC7A6		TRAF5	PCYT1A		
SLC7A6OS		TRAF6	PCYT1B		
SLC8B1		TRAFD1	PCYT2		
SLC9A2		TRAK1	PDAP1		
SLC9A3-AS1		TRAM2	PDCD1		
SLC9A3R1		TRANK1	PDCD2		
SLCO1A2		TRAPPC1	PDCD2L		
SLCO1C1		TRAPPC10	PDCD6		
SLCO2A1		TRHDE	PDE10A		
SLCO2B1		TRHDE-AS1	PDE2A		
SLCO4C1		TRIM3	PDE3B		
SLFNL1		TRIM33	PDE4B		
SLIT1-AS1		TRIM35	PDE5A		
SLITRK2		TRIM36	PDE6D		
SLK		TRIM37	PDE6G		
SLN		TRIM50	PDGFA		
SLPI		TRIM59	PDGFB		
SLX1B-SULT1A4		TRIM6	PDGFD		
SMA4		TRIM62	PDGFRB		
SMAD5-AS1		TRIM8	PDHB		
SMAD7		TRIM9	PDHX		
SMAD9		TRIOBP	PDIA3		
SMAGP		TRIT1	PDIA4		
SMAP1		TRMT11	PDIA5		
SMARCA4		TRMT112	PDIA6		
SMARCAD1		TRMT13	PDK3		
SMC1A		TRMT2B	PDLIM1		
SMCHD1		TRMT5	PDLIM3		
SMG1P3		TRMT6	PDLIM4		
SMG1P6		TRPC2	PDLIM7		
SMG5		TRPC3	PDSS1		
SMG8		TRPC7	PDYN		
SMG9		TRPM2	PDZD11		
SMIM10L2A		TRUB1	PDZD4		
SMIM11A		TSC22D2	PEA15		
SMIM22		TSG101	PEBP1		
SMIM25		TSGA10	PEF1		
SMIM32		TSHZ1	PEG10		
SMIM33		TSKU	PELO		
SMLR1		TSNAX	PELP1		
SMOX		TSPAN10	PEPD		
SMPD1		TSPAN12	PERP		
SMPDL3A		TSPAN5	PES1		
SMUG1		TSPAN7	PET117		
SMURF2P1-LRRC37BP1		TSPYL4	PEX10		
SMYD2		TSPYL5	PEX11G		
SNAP23		TSTD2	PEX19		
SNAP25		TTC28	PEX6		
SNAP25-AS1		TTC3	PEX7		
SNAPC3		TTC33	PF4		
SNAR-C3		TTC41P	PF4V1		
SNAR-C4		TTC5	PFAS		
SNAR-D		TTF1	PFDN1		
SNAR-E		TTI1	PFDN4		
SNAR-I		TTK	PFKM		
SND1-IT1		TTLL1	PFN1		
SNED1		TTLL13P	PFN2		
SNHG12		TTLL2	PGAM1		
SNHG25		TTLL4	PGAM1P5		
SNHG27		TTTY10	PGAM2		
SNHG7		TUB	PGAP2		
SNORA16A		TUBA3FP	PGAP3		
SNORA21B		TUBAL3	PGBD1		
SNORA25		TUBB8	PGBD3		
SNORA31B		TUBB8P12	PGBD5		
SNORA32		TUBBP5	PGD		
SNORA44		TUBD1	PGGHG		
SNORA52		TUBE1	PGK1		
SNORA63B		TUBG2	PGLS		
SNORA64		TUBGCP3	PGP		
SNORA65		TUBGCP4	PGRMC1		
SNORA70		TULP3	PGS1		
SNORA71A		TUSC1	PHACTR2		
SNORA73A		TWF1	PHACTR2-AS1		
SNORA73B		TWISTNB	PHB2		
SNORA74A		TXLNG	PHC1		
SNORA74D		TXNDC11	PHETA2		
SNORC		TXNDC16	PHEX-AS1		
SNORD10		TXNDC17	PHF11		
SNORD111		U2AF1L4	PHF19		
SNORD114-13		U2AF2	PHF21B		
SNORD11B		UBA6	PHF5A		
SNORD12		UBAC1	PHGDH		
SNORD15B		UBE2D3	PHLDA1		
SNORD17		UBE2H	PHLDB1		
SNORD22		UBE2Q2	PHYH		
SNORD32A		UBE2Q2P1	PHYHD1		
SNORD42A		UBE2R2	PICK1		
SNORD47		UBE2T	PIDD1		
SNORD50A		UBE2U	PIEZO2		
SNORD50B		UBE2W	PIF1		
SNORD56		UBFD1	PIGC		
SNORD59A		UBL7-AS1	PIGK		
SNORD6		UBLCP1	PIGM		
SNORD74		UBN1	PIGN		
SNORD86		UBOX5	PIGO		
SNORD99		UBR1	PIGQ		
SNRNP200		UBR2	PIGS		
SNTB2		UBR5-AS1	PIGT		
SNX2		UBTD2	PIGX		
SNX31		UBTF	PIGY		
SNX5		UBXN11	PIH1D1		
SNX6		UBXN4	PIK3CD-AS2		
SNX8		UFL1	PIK3R2		
SOAT1		UGDH	PIM2		
SOCS3		UGT2A1	PIMREG		
SOD2		UGT8	PIN1		
SOS1		UHRF1	PIN4		
SOWAHA		UHRF1BP1L	PINCR		
SOWAHB		UHRF2	PINLYP		
SOWAHD		ULK4P3	PIP4K2B		
SOX17		UNC13C	PIP4P2		
SOX21-AS1		UNC5C	PIP5KL1		
SOX9		UNC79	PIPOX		
SOX9-AS1		UNG	PISD		
SP5		UNKL	PITPNM3		
SP6		UPF3A	PJA1		
SP7		UPF3B	PKD1		
SP8		URGCP-MRPS24	PKD1L2		
SP9		USH2A	PKD1P1		
SPA17		USO1	PKD1P3-NPIPA1		
SPAG4		USP11	PKD1P4-NPIPA8		
SPAG5		USP13	PKD1P4-NPIPA8.1		
SPAM1		USP14	PKD2		
SPATA13		USP16	PKDCC		
SPATA2L		USP2	PKHD1L1		
SPATA3-AS1		USP21	PKIA		
SPATA31C1		USP25	PKIB		
SPATA31C2		USP31	PKIG		
SPATA31D1		USP34	PKLR		
SPATA31E1		USP35	PKM		
SPATA46		USP37	PKMYT1		
SPATA8		USP4	PKN1		
SPATS2		USP43	PKP4		
SPDYE8P		USP49	PLA2G12A		
SPDYE8P.1		USP53	PLA2G3		
SPDYE8P.2		USP54	PLA2G7		
SPEN		USP6NL	PLAAT2		
SPHK1		USP8	PLAAT4		
SPIC		USP9X	PLAC9		
SPIN4		UTP14A	PLAT		
SPINT1		UTS2B	PLAU		
SPN		UXS1	PLAUR		
SPNS3		VAMP3	PLBD2		
SPON2		VAMP4	PLCB2		
SPOPL		VAV3	PLCB3		
SPPL2A		VCAM1	PLCG1		
SPPL2C		VEGFC	PLD3		
SPRED2		VEZF1	PLEKHG2		
SPRNP1		VILL	PLEKHG4		
SPRR2A		VIRMA	PLEKHG4B		
SPRY2		VLDLR-AS1	PLEKHH1		
SPRYD3		VPS13A-AS1	PLEKHJ1		
SPRYD7		VPS13B	PLEKHO1		
SPSB2		VPS13C	PLIN3		
SPSB3		VPS13D	PLK2		
SPTLC2		VPS35L	PLOD3		
SPTLC3		VPS37A	PLP1		
SPTSSA		VPS37B	PLP2		
SPZ1		VPS50	PLPP2		
SQLE		VPS72	PLPP5		
SRCAP		VTA1	PLPPR4		
SREBF1		VWA2	PLPPR5		
SREBF2-AS1		VWA3A	PLS3		
SRF		VWA5A	PLS3-AS1		
SRGAP2B		VWA8	PLSCR1		
SRGAP3-AS2		VWF	PLSCR3		
SRL		WAC	PLTP		
SRM		WASF1	PLXDC2		
SRP72		WASF2	PLXNA1		
SRPRA		WASF3	PLXNB2		
SRPRB		WASHC1	PMAIP1		
SRRD		WBP4	PMEL		
SRRM1		WDCP	PMEPA1		
SRRM2		WDFY1	PMF1		
SRSF4		WDFY3-AS2	PMF1-BGLAP		
SRXN1		WDR11	PMPCA		
SS18L1		WDR19	PMPCB		
SSC5D		WDR20	PMS2		
SSPO		WDR26	PMS2CL		
SSR4		WDR31	PMS2P2		
SSTR4		WDR33	PMVK		
SSX4		WDR37	PNKP		
SSX4.1		WDR44	PNLIPRP2		
SSX4B		WDR45B	PNMA6A		
SSX4B.1		WDR7	PNMA6A.1		
SSX5		WDR75	PNO1		
ST13P4		WDR76	PNP		
ST20-MTHFS		WDR93	PNPLA3		
ST3GAL1		WDTC1	PNPLA5		
ST3GAL2		WEE2	POC1A		
ST3GAL6		WEE2-AS1	POC1B-GALNT4		
ST6GAL1		WFDC1	PODXL		
ST6GALNAC1		WFDC10B	PODXL2		
ST7-OT4		WFDC2	POFUT1		
ST8SIA4		WFDC9	POGK		
STAG2		WHAMMP2	POGLUT1		
STAG3L4		WHRN	POGLUT2		
STAM-AS1		WIPF2	POGLUT3		
STARD10		WLS	POLA2		
STARD13-AS		WNT8B	POLD2		
STAT6		WRN	POLD4		
STEAP3		WWC2	POLDIP2		
STEAP3-AS1		WWC3	POLE2		
STK10		WWP2	POLM		
STKLD1		XCR1	POLR2D		
STON1		XG	POLR2E		
STON1-GTF2A1L		XKR9	POLR2G		
STON2		XPC	POLR2I		
STRA6		XPOT	POLR2J3		
STS		XPR1	POP5		
STUM		XRCC1	POP7		
STX1A		XRN1	POR		
SUCLG1		XRN2	POSTN		
SUCNR1		XRRA1	POTEE		
SUGT1P4-STRA6LP		XXYLT1	POU3F1		
SULT1A1		YAP1	POU5F1		
SULT1A3		YEATS4	POU5F1B		
SULT1E1		YIPF5	POU5F1P3		
SUMO4		YIPF6	PPA1		
SUN2		YPEL5	PPA2		
SUN3		YTHDF1	PPAN		
SUPT7L		YWHAB	PPAT		
SUSD2		YY1AP1	PPBP		
SUSD5		YY2	PPIA		
SUV39H1		ZBED3	PPIB		
SUZ12P1		ZBED4	PPID		
SV2C		ZBED9	PPIH		
SYAP1		ZBTB12	PPM1G		
SYBU		ZBTB16	PPM1J		
SYDE2		ZBTB2	PPM1K		
SYNDIG1L		ZBTB21	PPME1		
SYNE3		ZBTB33	PPOX		
SYNPO		ZBTB38	PPP1CA		
SYT12		ZBTB39	PPP1R11		
SYT13		ZBTB4	PPP1R12A-AS1		
SYT15		ZBTB43	PPP1R12C		
SYT7		ZBTB49	PPP1R14B		
SZRD1		ZBTB5	PPP1R17		
SZT2		ZBTB6	PPP1R18		
SZT2-AS1		ZC2HC1A	PPP1R1A		
TAB3-AS1		ZC3H12A	PPP1R1B		
TAC4		ZC3H14	PPP1R1C		
TACR2		ZC3H18	PPP1R26		
TACSTD2		ZC3H3	PPP1R32		
TAF1D		ZC3H6	PPP1R7		
TAF1L		ZC3H7A	PPP2CA		
TAF6L		ZC3H8	PPP2R1A		
TALAM1		ZCCHC14	PPP4C		
TALDO1		ZCCHC17	PPP5C		
TANGO2		ZCCHC2	PPT1		
TAS1R3		ZCCHC3	PPT2-EGFL8		
TAS2R1		ZCCHC4	PQLC2		
TAS2R13		ZCCHC7	PRAF2		
TAS2R19		ZCRB1	PRAG1		
TAS2R20		ZCWPW1	PRCP		
TAS2R31		ZCWPW2	PRDM11		
TAS2R5		ZDBF2	PRDM14		
TAS2R9		ZDHHC18	PRDM5		
TBC1D10C		ZDHHC5	PRDX2		
TBC1D13		ZDHHC7	PRDX3		
TBC1D20		ZDHHC8	PRDX4		
TBC1D22A-AS1		ZFAND6	PRDX5		
TBC1D24		ZFAT	PRDX6		
TBC1D27P		ZFAT-AS1	PRELID1		
TBC1D3P2		ZFHX3	PRELID3A		
TBCA		ZFP3	PREX2		
TBCD		ZFP69	PRH1		
TBILA		ZFP90	PRH1-TAS2R14		
TBKBP1		ZFP91-CNTF	PRICKLE3		
TBL1XR1		ZFPM1	PRIM1		
TBL2		ZFPM2	PRIMA1		
TBL3		ZFR	PRKAA2		
TBR1		ZFYVE16	PRKAB1		
TBX10		ZFYVE9	PRKACB		
TBX19		ZHX1	PRKAG2		
TBX2		ZHX2	PRKCB		
TBX2-AS1		ZHX3	PRKCD		
TBX21		ZIM2	PRKCI		
TBX3		ZKSCAN7	PRKCZ-AS1		
TBX4		ZMYM2	PRKDC		
TBX5-AS1		ZMYM3	PRKRA-AS1		
TBX6		ZMYM4-AS1	PRKX		
TBXA2R		ZMYND15	PRKY		
TCEA1		ZNF134	PRMT1		
TCERG1L		ZNF136	PRMT3		
TCF12		ZNF14	PRMT5		
TCF7L2		ZNF143	PRMT5-AS1		
TCL6		ZNF148	PRMT6		
TDG		ZNF160	PRNP		
TDH		ZNF177	PROK2		
TDO2		ZNF181	PROM2		
TEAD1		ZNF182	PRPF31		
TEC		ZNF197	PRPF4		
TECR		ZNF200	PRPS1		
TECTB		ZNF202	PRPSAP2		
TEDC1		ZNF214	PRR19		
TEKT2		ZNF215	PRR22		
TELO2		ZNF22	PRR26		
TEN1		ZNF251	PRR27		
TEN1-CDK3		ZNF252P	PRR3		
TENM3		ZNF267	PRR34-AS1		
TEPSIN		ZNF280B	PRR4		
TES		ZNF280C	PRR5-ARHGAP8		
TET1		ZNF280D	PRRT2		
TET2		ZNF281	PRRT3		
TEX11		ZNF285	PRRT3-AS1		
TEX264		ZNF316	PRSS16		
TEX38		ZNF318	PRSS35		
TF		ZNF324	PRSS44P		
TFAP2A		ZNF330	PRSS8		
TFAP2A-AS1		ZNF337	PRTFDC1		
TFCP2L1		ZNF341	PRXL2A		
TFDP3		ZNF354A	PRXL2B		
TFEB		ZNF354B	PRXL2C		
TFEC		ZNF362	PSAT1		
TFF1		ZNF365	PSENEN		
TFPI		ZNF382	PSKH1		
TFRC		ZNF383	PSMA1		
TGFB1		ZNF385D-AS1	PSMA4		
TGFB3		ZNF391	PSMA6		
TGFBR2		ZNF395	PSMA7		
TGFBR3		ZNF397	PSMB1		
TGM2		ZNF407	PSMB10		
TGM3		ZNF415	PSMB2		
THADA		ZNF419	PSMB4		
THBD		ZNF426	PSMB5		
THOC5		ZNF436	PSMB6		
THOC7-AS1		ZNF438	PSMB7		
THPO		ZNF44	PSMB8		
THRB-AS1		ZNF445	PSMC1		
TIFAB		ZNF449	PSMC2		
TIGD1		ZNF461	PSMC3		
TIMM10		ZNF462	PSMC5		
TIMM17A		ZNF502	PSMD11		
TIMM21		ZNF503-AS1	PSMD13		
TIMM23B-AGAP6		ZNF512B	PSMD14		
TIMM29		ZNF513	PSMD3		
TIMM50		ZNF529	PSMD4		
TINAGL1		ZNF540	PSMD5		
TINCR		ZNF541	PSMD6		
TJP2		ZNF543	PSMD7		
TKTL1		ZNF546	PSMD8		
TLE1		ZNF548	PSME1		
TLE3		ZNF549	PSME2		
TLNRD1		ZNF556	PSME3		
TLR7		ZNF558	PSMF1		
